¿Cómo se llamaba el padre de Josué? (Josué 1:1.)	Nun	Moisés, Abraham, David, Isaías, Samuel	1
¿Cuál es el número de “la bestia salvaje”? (Revelación 13:18.)	666	777, 333, 999, 555, 111	1
¿Cómo se llama la parte trasera de un barco? (Marcos 4:38)	Popa	Proa, Timón, Ancla, Quilla, Casco	1
¿Quién fue el padre de Jonás? (Jonás 1:1.)	Amitai	Moisés, David, Salomón, Isaías, Jeremías	1
¿Qué fruto del espíritu se alista después del amor? (Gálatas 5:22.)	El gozo	La paciencia, la bondad, la fe, la mansedumbre, la templanza	1
¿Qué puso Adán a todos los animales? (Génesis 2:20.)	Nombres	Comida, Collares, Correas, Juguetes, Ropa	1
¿Cómo se llamaba el esposo de Noemí? (Rut 1:3.)	Elimélec	Abraham, Isaac, Jacob, Moisés, David	1
La paloma volvió a Noé con una hoja de ¿qué árbol? (Génesis 8:11.)	El olivo	El roble, el cedro, el pino, el sauce, el álamo	1
¿Qué animal es muy parecido al conejo, aunque es más grande que este? (Levítico 11:6)	La liebre	El gato, el perro, el zorro, el ciervo, el armadillo	1
¿Qué arma se lanzaba generalmente? (Josué 8:18.)	La jabalina	La espada, el arco, la lanza, la maza, la honda	1
¿Qué pensaba hacer José para evitar que María fuese “un espectáculo público”? (Mateo 1:19.)	Divorciarse de ella	Mantenerla encerrada en casa, alejarla de su familia, obligarla a casarse en secreto, hacerla abandonar el pueblo, denunciarla públicamente	1
¿Qué expresión se utiliza a veces en la Biblia para referirse a las aves? (Génesis 1:26.)	Criaturas voladoras	Animales alados, Aves del cielo, Ser viviente con alas, Plumas voladoras, Criaturas con plumas	1
¿De qué se formó a la primera mujer? (Génesis 2:22.)	De una costilla de Adán	De la tierra, de una piedra, de un árbol, de un animal, de la nada	1
¿Cuáles son las primeras cuatro letras del alfabeto griego?	Alfa, beta, gamma, delta	Beta, gamma, delta, épsilon, zeta	1
Dado que los hombres no son la fuente de salvación, ¿qué indica Salmo 146:3 que no debemos hacer?	Cifrar confianza en nobles o hijos del hombre terrestre	Buscar la salvación en los hombres, Esperar que los hombres nos salven, Confiar en los hombres para nuestra salvación, Adorar a los hombres como dioses, Seguir ciegamente a los hombres sin discernimiento	1
¿Por qué elogió David a Jehová en Salmo 139:14?	Maravillosamente hecho	Por su poder y dominio sobre la creación, Por su justicia y misericordia hacia su pueblo, Por su sabiduría y conocimiento infinito, Por su amor y fidelidad hacia sus hijos, Por su capacidad de hacer milagros y prodigios	1
¿Quién era el padre de Josué? (Nehemías 8:17.)	Nun	Moisés, Aarón, Caleb, Josafat, Eliezer	2
¿Cuántos hermanos mayores tenía David? (1 Crónicas 2:15.)	Seis	Cuatro, Tres, Dos, Siete, Ocho	2
¿Cuál es la primera letra del alfabeto hebreo? (Sobrescrito del Salmo 119.)	Álef	Beta, Gimel, Dalet, Hei, Vav	2
¿Qué sobrenombre se le dio a Esaú? (Génesis 36:1.)	Edom	Jacob, Israel, Isaac, Abraham, Moisés	2
¿A cuál de los hijos de Noé se nombra siempre en segundo lugar, aunque es posible que fuera el más joven? (Génesis 5:32.)	Cam	Sem, Jafet, Noé, Matusalén, Tubal-Caín	2
Por los datos que tenemos, ¿cuál fue la primera parada que hicieron los israelitas de camino al mar Rojo? (Éxodo 12:37.)	Sucot	Gosen, Ramsés, Pi-Hahirot, Migdol, Baal Zefón	2
Cuando Jehová otorga una bendición, ¿qué no le añade? (Proverbios 10:22.)	Dolor	Dificultad, Tristeza, Sufrimiento, Problemas, Angustia	2
Según indicó Jesús, ¿cuántos hallarían el camino que conduce a la vida? (Mateo 7:14)	Pocos	Muchos, todos, la mayoría, nadie	2
Cansados del maná, ¿qué pidieron los israelitas en el desierto? (Números 11:4.)	Carne	Agua, frutas, verduras, pan, vino	2
¿Quién fue el padre de Moisés? (Números 26:59.)	Amram	Abraham, Isaac, Jacob, José, David	2
¿A cuántos discípulos despachó Jesús para que consiguieran el pollino sobre el que entró en Jerusalén? (Marcos 11:1.)	A dos	A cuatro, A seis, A ocho, A diez, A doce	2
¿Qué nombre le dio Jesús a Simón, el hijo de Juan? (Juan 1:42.)	Cefas	Pedro, Juan, Santiago, Andrés, Mateo	2
¿Cómo se llamaba el paralítico que llevaba ocho años en su camilla cuando Pedro lo curó? (Hechos 9:33, 34.)	Eneas	Juan, Pablo, Santiago, Mateo, Lucas	2
¿Cuál es el Evangelio más corto?	Marcos	Mateo, Lucas, Juan, Hechos, Romanos	2
¿Cómo se llama el instrumento que se utilizaba para escribir sobre arcilla o cera haciendo incisiones? (Isaías 8:1.)	Estilo	Pluma, lápiz, bolígrafo, pincel, marcador	2
¿Quién era el padre de Jezabel? (1 Reyes 16:31.)	Etbaal	Acab, Elías, Josafat, Nabot, Eliseo	2
¿De quién se dijo que llegaría a ser “la madre de todo el que viviera”? (Génesis 3:20.)	De Eva	Adán, Noé, Abraham, Moisés, David	2
Aunque pudo haberlos mayores, ¿cuál es el gigante más famoso que menciona la Biblia? (1 Samuel 17:4.)	Goliat	Sansón, Anac, Og, Nefilim, Gog	2
¿Qué sentimiento puede provocar disputas? (Proverbios 10:12.)	El odio	La alegría, la compasión, la empatía, la gratitud, la paz	2
¿Qué hijo de David se distinguía por ser extraordinariamente apuesto? (2 Samuel 14:25.)	Absalón	Salomón, Adonías, Amnón, Joab, Jonatán	2
¿A cuántos oficiales de la corte envió el rey Asuero para que trajeran ante él a la reina Vasti a fin de mostrar su belleza? (Ester 1:10.)	A siete	A tres, A diez, A doce, A veinte, A trece	2
¿La rama de qué árbol frutal se utiliza a menudo como símbolo de la paz? (Véase Isaías 17:6.)	El olivo	Manzano, peral, naranjo, limonero, cerezo	2
